attribute,human_reliability_r2,ai_performance_r2,self_reliability_r2,model
skin-color,0.9590205566689776,0.6276675426101244,0.6206973205632107,GPT-5.4 Mini
black,0.9658389982791955,0.6612182148396483,0.8782453850192102,GPT-5.4 Mini
happy,0.9680173716516768,0.8928470533126571,0.9316190345828395,GPT-5.4 Mini
outdoors,0.9717421791302544,0.44377723786215023,0.6630304651892813,GPT-5.4 Mini
white,0.9742860406731676,0.8237374835611254,0.8132720589725121,GPT-5.4 Mini
asian,0.975861906108899,0.7638278812953898,0.7579197350747674,GPT-5.4 Mini
long-haired,0.9784034409111463,0.7593032594938058,0.9033202168036439,GPT-5.4 Mini
hair-color,0.9811958347853058,0.6786461323828844,0.6318073909919858,GPT-5.4 Mini
gender,0.9833856951119023,0.8843219908155222,0.9210116772145689,GPT-5.4 Mini
age,0.9918071771844654,0.8989048796628939,0.9541768641081562,GPT-5.4 Mini
looks-like-you,0.38054295573832264,0.0866075569701299,0.1679534916294332,Claude Sonnet 5
familiar,0.4784127106815216,0.10910020173067576,0.7788516898712892,Claude Sonnet 5
memorable,0.6412399873298605,0.2803766182103409,0.7839497312679582,Claude Sonnet 5
godly,0.6765459658010349,0.13671218369539345,0.5551287649831956,Claude Sonnet 5
typical,0.7133443233899913,0.26758725136181055,0.6076408857595168,Claude Sonnet 5
alert,0.746442598421755,0.4261482782159725,0.7540855236698527,Claude Sonnet 5
smart,0.795074547217624,0.5865988442555962,0.9184329836128393,Claude Sonnet 5
liberal,0.8103673516937314,0.23058578578114763,0.8337826881950864,Claude Sonnet 5
smug,0.8163247383265589,0.5454601609432834,0.7969889156066574,Claude Sonnet 5
privileged,0.8167972157380163,0.4939530912951913,0.8942347108859002,Claude Sonnet 5
dorky,0.8415189910823784,0.580091179447173,0.9090073506034027,Claude Sonnet 5
gay,0.8500919800588375,0.45807495704490625,0.7527072243679795,Claude Sonnet 5
attractive,0.8520247910105196,0.6744669377831456,0.9667289862774762,Claude Sonnet 5
trustworthy,0.8690131985382699,0.6317524302383037,0.9350818658226141,Claude Sonnet 5
well-groomed,0.8780994691450046,0.37184672646848244,0.9426313917736057,Claude Sonnet 5
dominant,0.8876134599414084,0.762183587447889,0.9368085046567848,Claude Sonnet 5
outgoing,0.9044895209951521,0.8031127821238917,0.957414944761126,Claude Sonnet 5
weight,0.9113934671767562,0.5283555323518042,0.923219702637382,Claude Sonnet 5
native,0.9296341873667373,0.4407819427642049,0.8625036051312842,Claude Sonnet 5
cute,0.9308078833000234,0.8292370953524495,0.9680314330871892,Claude Sonnet 5
hispanic,0.9315797139528387,0.7163131882707856,0.9722628516173594,Claude Sonnet 5
electable,0.934432812361177,0.525083530391915,0.8269621211044004,Claude Sonnet 5
middle-eastern,0.9353168693863781,0.6004515131336405,0.9612315377184971,Claude Sonnet 5
islander,0.9424354350367901,0.48514002803446027,0.8726437796330002,Claude Sonnet 5
skin-color,0.9590205566689776,0.8084776105017077,0.9282855204125837,Claude Sonnet 5
black,0.9658389982791955,0.6327052818138754,0.9777518675297334,Claude Sonnet 5
happy,0.9680173716516768,0.9114441827723695,0.9868116329574431,Claude Sonnet 5
outdoors,0.9717421791302544,0.507677880780772,0.9270015439097674,Claude Sonnet 5
white,0.9742860406731676,0.8936737356745393,0.9882495461459648,Claude Sonnet 5
asian,0.975861906108899,0.7390743373545249,0.9927841106788451,Claude Sonnet 5
long-haired,0.9784034409111463,0.8711298563707517,0.9813883352149031,Claude Sonnet 5
hair-color,0.9811958347853058,0.5407839925164966,0.656194766252604,Claude Sonnet 5
gender,0.9833856951119023,0.9383678952041152,0.9929218656827861,Claude Sonnet 5
age,0.9918071771844654,0.9580833396377384,0.9928631858874071,Claude Sonnet 5
