name,party,state,incumbent_challenge,candidate_id,office,active
"DEBERRY, SHAUNESI YVETTE",INDEPENDENT,NC,Open seat,S6NC00381,Senate,N
"DELGADO, ADAM",DEMOCRATIC PARTY,IL,Open seat,S6IL00607,Senate,C
"DENDY, TRACY COLLENE",REPUBLICAN PARTY,LA,Challenger,S6LA00599,Senate,N
"DE PAULA, ALEX",REPUBLICAN PARTY,VA,Challenger,S6VA00226,Senate,C
"DIENER, ANN",DEMOCRATIC PARTY,AK,Challenger,S6AK00235,Senate,N
"DIMOLA, FRANK",DEMOCRATIC PARTY,FL,Challenger,S6FL00731,Senate,N
"DISMUKES, THOMAS KEITH",REPUBLICAN PARTY,SC,Challenger,S6SC04361,Senate,C
"DODSON, MATT",DEMOCRATIC PARTY,NM,Challenger,S6NM01145,Senate,C
"DOOLEY, DEREK",REPUBLICAN PARTY,GA,Challenger,S6GA00408,Senate,C
"DOUGHERTY, KAEL",DEMOCRATIC PARTY,FL,Challenger,S6FL00566,Senate,N
"DUBLIN, MICHAEL LOUIS JR.",GREEN PARTY,NC,Open seat,S6NC00563,Senate,N
"DUES, JUSTIN",DEMOCRATIC PARTY,NC,Open seat,S6NC00456,Senate,N
"DUNBAR, ETHAN N SR.",DEMOCRATIC PARTY,AR,Challenger,S6AR00173,Senate,C
"DUNCAN, ALEXANDER",REPUBLICAN PARTY,TX,Challenger,S6TX00339,Senate,N
"DUNCAN, ALEXANDER",REPUBLICAN PARTY,TX,Challenger,S6TX00354,Senate,N
"DUNCAN, JAMES D",REPUBLICAN PARTY,KY,Open seat,S6KY00419,Senate,N
"DUNCAN, SCOTT MICHEAL",INDEPENDENT,KY,Open seat,S6KY00195,Senate,N
"DUNN, EDWARD MR.",REPUBLICAN PARTY,NE,Challenger,S6NE00137,Senate,N
"DUPRE, MARGOT",REPUBLICAN PARTY,NC,Open seat,S6NC00449,Senate,C
"DURBIN, RICHARD J.",DEMOCRATIC PARTY,IL,Incumbent,S6IL00151,Senate,C
"EICHELBERGER, GREGORY",DEMOCRATIC PARTY,VA,Challenger,S6VA00192,Senate,C
"ELLISON, JACK",NONE,SC,Challenger,S6SC04221,Senate,N
"EL-SAYED, ABDUL",DEMOCRATIC PARTY,MI,Open seat,S6MI00418,Senate,C
"EMERSON, JULIE CATHRYN",REPUBLICAN PARTY,LA,Challenger,S6LA00581,Senate,C
"ENGLAND, GARY TY MR.",REPUBLICAN PARTY,OK,Challenger,S6OK04288,Senate,C
"ERNST, JONI K",REPUBLICAN PARTY,IA,Incumbent,S4IA00129,Senate,C
"ESTRADA, MICHAEL",INDEPENDENT,NJ,Challenger,S4NJ00524,Senate,C
"EVANS, DAVID ALAN",INDEPENDENT,ME,Challenger,S6ME00399,Senate,C
"EVANS, JEANNIE",REPUBLICAN PARTY,IL,Open seat,S6IL00672,Senate,C
"EVANS, JOE",REPUBLICAN PARTY,ID,Challenger,S6ID00120,Senate,C
"EVANS, JONATHAN DERRICK",REPUBLICAN PARTY,WV,Challenger,S6WV00147,Senate,C
"EVANS, RONALD JR",INDEPENDENT,TX,Challenger,S6TX00446,Senate,N
"FARINGTON, KIM",REPUBLICAN PARTY,VA,Challenger,S6VA00143,Senate,C
"FARIS, MICHAEL",REPUBLICAN PARTY,KY,Open seat,S6KY00260,Senate,C
"FARIS, MICHAEL JAMES",REPUBLICAN PARTY,KY,Open seat,S6KY00278,Senate,C
"FARIS, STEPHEN I MR",INDEPENDENT,OH,Challenger,S8OH00144,Senate,C
"FARMS, WILLIAM",DEMOCRATIC PARTY,OH,Challenger,S6OH00320,Senate,N
"FARROW, DARYL",DEMOCRATIC PARTY,NC,,S6NC00530,Senate,N
"FAVREAU, TUCKER",DEMOCRATIC PARTY,ME,Challenger,S6ME00357,Senate,C
"FERNANDEZ, VERONICA",INDEPENDENT,NJ,Challenger,S0NJ00258,Senate,N
"FETTY ANDERSON, RACHEL LEE",DEMOCRATIC PARTY,WV,Challenger,S6WV00188,Senate,C
"FIELDS, CHRIS",DEMOCRATIC PARTY,NJ,Challenger,S6NJ00404,Senate,N
"FLANAGAN, MARGARET",DEMOCRATIC-FARMER-LABOR,MN,Open seat,S6MN00440,Senate,C
"FLEMING, JOHN C. JR.",REPUBLICAN PARTY,LA,Challenger,S6LA00318,Senate,C
"FLEMING, NATALIE M",UNAFFILIATED,ID,Challenger,S0ID00172,Senate,N
"FORBES, WILLIAM",DEMOCRATIC PARTY,NE,Challenger,S6NE00160,Senate,N
"FORD, CAMENCIA",NONE,TX,Challenger,S6TX00404,Senate,N
"FORSYTHE, LOGAN",DEMOCRATIC PARTY,KY,Open seat,S6KY00328,Senate,C
"FREEMAN, KYLE ODONNELL",DEMOCRATIC PARTY,SC,Challenger,S6SC04197,Senate,C
"FRY, RUSSELL",REPUBLICAN PARTY,SC,Challenger,S6SC04403,Senate,C
"FULKERSON, HEATH VINCENT",REPUBLICAN PARTY,CA,Challenger,S6CA01046,Senate,N
"GAASERUD, ALEXANDER",REPUBLICAN PARTY,WV,Challenger,S6WV00154,Senate,N
"GATES, WILLIAM FRANCIS MR.",DEMOCRATIC PARTY,MA,Challenger,S6MA00312,Senate,N
"GILESPIE, NEIL JOSEPH",NO PARTY AFFILIATION,FL,Challenger,S6FL00863,Senate,C
"GIOVONIZZI, MATTHEW S",NON-PARTY,NH,Open seat,S6NH00158,Senate,N
"GIRACELLO, CHRISTOPHER",DEMOCRATIC PARTY,SC,Challenger,S6SC04254,Senate,N
"GLASER, CINDY E",INDEPENDENT,SC,Challenger,S6SC04304,Senate,N
"GLASGOW, VALMA K",DEMOCRATIC PARTY,AL,Open seat,S6AL00401,Senate,N
"GLEASON, CHRISTOPHER",REPUBLICAN PARTY,FL,Challenger,S6FL00848,Senate,C
"GONZALES, JULIE",DEMOCRATIC PARTY,CO,Challenger,S6CO00499,Senate,C
"GOODMAN, JOHN",REPUBLICAN PARTY,IL,Open seat,S6IL00425,Senate,C
"GOULD, CHARLES AKA ALEX A",DEMOCRATIC PARTY,FL,Challenger,S6FL00699,Senate,N
"GRAHAM, DARLINE",REPUBLICAN PARTY,SC,,S6SC04437,Senate,C
"GRAHAM, LINDSEY O.",REPUBLICAN PARTY,SC,Incumbent,S0SC00149,Senate,C
"GRANDA, GRACE",UNKNOWN,FL,Challenger,S2FL00425,Senate,N
"GRAYSON, ALAN MARK",DEMOCRATIC PARTY,FL,Challenger,S2FL00581,Senate,C
"GREEN, CARMEN CHARMAINE",AMERICAN INDEPENDENT PARTY,IN,Challenger,S6IN00282,Senate,N
"GREEN, TROY WESLEY",DEMOCRATIC PARTY,OK,Challenger,S6OK04171,Senate,C
"GRUENHAGEN, ALYCIA",REPUBLICAN PARTY,MN,Open seat,S6MN00507,Senate,N
"HAFNER, CAROL",DEMOCRATIC PARTY,AK,Challenger,S6AK00284,Senate,N
"HAGEMAN, HARRIET",REPUBLICAN PARTY,WY,Open seat,S6WY00209,Senate,C
"HAGERTY, BILL",REPUBLICAN PARTY,TN,Incumbent,S0TN00169,Senate,C
"HALL, BRADFORD WINSTON",WRITE-IN,TX,Challenger,S6TX00636,Senate,N
"HAMILTON, ADAM",DEMOCRATIC PARTY,KS,Challenger,S6KS00312,Senate,C
"HAMILTON, MICHAELANGELO COLLINS",REPUBLICAN PARTY,FL,Challenger,S6FL00632,Senate,N
"HAMMOND, ALYSSIA ROSE-KATHERINE",DEMOCRATIC PARTY,NC,Open seat,S6NC00514,Senate,N
"HAMPTON, EDWARD J MR",REPUBLICAN PARTY,AZ,Challenger,S6AZ00415,Senate,N
"HANKINS, NICKY JOE",REPUBLICAN PARTY,OK,Challenger,S6OK04213,Senate,N
"HANKINS, NICKY JOE",REPUBLICAN PARTY,OK,Challenger,S6OK04239,Senate,N
"HANN, DAVID W",REPUBLICAN PARTY,MN,Open seat,S6MN00531,Senate,C
"HANSEN, E. NO-TRUMP",DEMOCRATIC PARTY,DE,Challenger,S6DE00271,Senate,N
"HANSEN, ERIC",DEMOCRATIC PARTY,DE,,S4DE00094,Senate,N
"HARRINGTON, WHITFIELD MR JR",INDEPENDENT,IL,Open seat,S6IL00680,Senate,C
"HART, JASON",DEMOCRATIC PARTY,KS,Challenger,S6KS00304,Senate,C
"HASLEY, BRASHAD D",DEMOCRATIC PARTY,CO,Challenger,S6CO00473,Senate,C
"HASSAN, AHMAD",DEMOCRATIC PARTY,TX,,S4TX00821,Senate,N
"HEIKES, GERALD L. (JERRY)",REPUBLICAN PARTY,AK,,S8AK00140,Senate,N
"HENRY, CHRIS",DEMOCRATIC PARTY,IA,Open seat,S6IA00306,Senate,N
"HERN, KEVIN",REPUBLICAN PARTY,OK,Challenger,S6OK04247,Senate,C
"HERRMANN, PATRICK JOSEPH",REPUBLICAN PARTY,SC,Challenger,S6SC04346,Senate,C
"HEURTEBISE, FREDERICK",REPUBLICAN PARTY,MI,Open seat,S6MI00384,Senate,C
"HICKENLOOPER, JOHN W.",DEMOCRATIC PARTY,CO,Incumbent,S0CO00575,Senate,C
"HOLDER, CHRISTOPHER LEE MR.",REPUBLICAN PARTY,LA,Challenger,S6LA00490,Senate,C
"HOLLIMAN, ANTHONY JOHN",INDEPENDENT,OH,Challenger,S6OH00437,Senate,N
"HOLLIMAN, ETHAN CLAY",REPUBLICAN PARTY,SC,Challenger,S6SC04189,Senate,N
"HOLTZ, JOHN",REPUBLICAN PARTY,WY,,S8WY00213,Senate,N
"HOUSE DARDEN, DUSTIN THOMAS",REPUBLICAN PARTY,AK,Challenger,S6AK00268,Senate,N
"HOWARD, JAMES GREGORY MR JR",DEMOCRATIC PARTY,AL,Open seat,S6AL00419,Senate,N
"HOWARD, RACHEL ELIZABETH",DEMOCRATIC PARTY,MI,Open seat,S6MI00467,Senate,C
"HUDSON, JARED",REPUBLICAN PARTY,AL,Challenger,S6AL00443,Senate,C
"HUMMERT, MICHAEL",DEMOCRATIC PARTY,MT,Open seat,S4MT00217,Senate,C
"HUNT, WESLEY",REPUBLICAN PARTY,TX,Challenger,S6TX00511,Senate,C
"HUSE, RODGER",,TX,Challenger,S6TX00602,Senate,N
"HUSTED, JON",REPUBLICAN PARTY,OH,Incumbent,S6OH00304,Senate,C
"HYDE-SMITH, CINDY",REPUBLICAN PARTY,MS,Incumbent,S8MS00261,Senate,C
"INHOFE, JAMES M. SEN.",REPUBLICAN PARTY,OK,Challenger,S4OK00083,Senate,C
"INNIS, DAN",REPUBLICAN PARTY,NH,Open seat,S6NH00174,Senate,C
"JACKSON, DEVELLE LAVAUGHN",INDEPENDENT,GA,Challenger,S6GA00275,Senate,N
"JACKSON, TROY DALE",DEMOCRATIC PARTY,ME,Challenger,S6ME00464,Senate,N
"JANDRON, TOM",LIBERTARIAN PARTY,MT,Open seat,S6MT00311,Senate,N
"JENKINS, JENNIFER",DEMOCRATIC PARTY,FL,Challenger,S6FL00798,Senate,C
"JOHNSON, CONSTANCE ""CONNIE""",OTHER,NC,,S6NC00431,Senate,N
"JOHNSON II, CRAIG HENLEY MR II",INDEPENDENT,MI,Open seat,S6MI00475,Senate,N
"JOHNSON, LEE",DEMOCRATIC PARTY,SC,Challenger,S6SC04288,Senate,C
"JOHNSON, RACHEAL ALISA",DEMOCRATIC PARTY,NY,Challenger,S6NY00474,Senate,N
"JOHNSON, THOMAS LEE",REPUBLICAN PARTY,NC,Open seat,S6NC00480,Senate,C
"JOHN, XAN MR.",REPUBLICAN PARTY,LA,Challenger,S6LA00508,Senate,N
"JONES, DATHAN CHARLES",REPUBLICAN PARTY,CO,Challenger,S6CO00481,Senate,N
"JONES, LLOYD",REPUBLICAN PARTY,IL,Open seat,S6IL00664,Senate,N
"JONES, ROBERT THOMAS",INDEPENDENT,TN,Challenger,S6TN00372,Senate,N
"JOSHI, JANAK",REPUBLICAN PARTY,CO,Challenger,S6CO00440,Senate,C
"KAMAL, ANDREW",REPUBLICAN PARTY,MI,Open seat,S6MI00491,Senate,N
"KATZ, MICHAEL S DR.",REPUBLICAN PARTY,DE,Challenger,S6DE00206,Senate,C
