stimulus,prompt_tokens,completion_tokens
291,1591,169
292,1591,169
293,1591,169
295,1591,169
296,1591,169
297,1591,169
298,1591,236
300,1591,242
301,1591,169
302,1591,169
303,1591,169
304,1591,236
305,1591,236
306,1591,169
307,1591,169
308,1591,169
309,1591,175
310,1591,169
311,1591,169
312,1591,169
313,1591,169
314,1591,169
315,1591,169
316,1591,175
317,1591,169
318,1591,169
319,1591,175
320,1591,169
321,1591,169
323,1591,169
324,1591,169
325,1591,169
326,1591,169
327,1591,169
328,1591,169
329,1591,169
330,1591,169
331,1591,169
332,1591,175
333,1591,175
334,1591,169
335,1591,169
336,1591,169
337,1591,169
338,1591,169
339,1591,169
340,1591,175
341,1591,169
342,1591,169
343,1591,169
344,1591,169
345,1591,169
346,1591,169
347,1591,169
348,1591,169
349,1591,169
350,1591,242
351,1591,169
352,1591,169
353,1591,169
354,1591,169
355,1591,169
356,1591,169
357,1591,169
358,1591,169
359,1591,169
360,1591,169
361,1591,169
362,1591,169
363,1591,169
364,1591,169
365,1591,175
367,1591,169
368,1591,169
369,1591,169
370,1591,169
371,1591,169
373,1591,242
374,1591,169
375,1591,242
376,1591,169
377,1591,169
378,1591,175
379,1591,169
380,1591,169
381,1591,169
382,1591,169
383,1591,169
384,1591,169
385,1591,169
386,1591,169
387,1591,169
389,1591,242
390,1591,175
391,1591,169
392,1591,169
393,1591,242
394,1591,169
395,1591,169
396,1591,169
397,1591,236
398,1591,169
399,1591,169
400,1591,169
401,1591,242
402,1591,169
403,1591,169
404,1591,169
405,1591,169
407,1591,169
408,1591,242
409,1591,169
410,1591,169
411,1591,169
412,1591,169
413,1591,169
414,1591,169
415,1591,242
416,1591,169
417,1591,169
418,1591,169
420,1591,242
421,1591,175
423,1591,169
424,1591,236
425,1591,242
426,1591,169
427,1591,169
428,1591,169
430,1591,169
431,1591,169
432,1591,169
433,1591,236
434,1591,169
435,1591,242
436,1591,175
437,1591,169
438,1591,169
439,1591,169
440,1591,169
441,1591,242
442,1591,236
443,1591,242
444,1591,169
445,1591,175
446,1591,169
447,1591,169
448,1591,169
449,1591,169
450,1591,169
451,1591,169
452,1591,169
453,1591,169
454,1591,169
455,1591,169
456,1591,169
458,1591,169
459,1591,169
460,1591,169
461,1591,242
462,1591,169
463,1591,169
464,1591,242
465,1591,169
466,1591,169
467,1591,169
468,1591,169
469,1591,169
470,1591,169
471,1591,169
472,1591,169
473,1591,169
474,1591,169
475,1591,169
476,1591,169
477,1591,242
478,1591,169
479,1591,169
480,1591,169
481,1591,169
482,1591,169
484,1591,169
485,1591,236
487,1591,169
488,1591,169
489,1591,169
491,1591,169
492,1591,169
493,1591,242
494,1591,169
495,1591,169
496,1591,169
497,1591,169
498,1591,169
499,1591,169
500,1591,169
501,1591,169
502,1591,169
503,1591,169
504,1591,175
505,1591,175
506,1591,169
507,1591,169
508,1591,169
509,1591,236
510,1591,169
511,1591,169
512,1591,168
513,1591,175
514,1591,236
516,1591,169
517,1591,169
518,1591,169
519,1591,169
520,1591,169
521,1591,169
522,1591,169
523,1591,236
524,1591,236
525,1591,169
526,1591,169
527,1591,169
528,1591,169
529,1591,175
531,1591,169
532,1591,175
533,1591,169
534,1591,242
535,1591,175
536,1591,169
537,1591,169
538,1591,175
539,1591,169
540,1591,169
541,1591,175
542,1591,242
543,1591,169
544,1591,169
545,1591,169
546,1591,169
547,1591,169
548,1591,169
549,1591,175
550,1591,169
552,1591,169
553,1591,175
554,1591,236
555,1591,169
556,1591,175
557,1591,169
558,1591,169
559,1591,169
560,1591,169
561,1591,236
562,1591,169
563,1591,169
564,1591,236
565,1591,169
566,1591,242
567,1591,169
568,1591,169
569,1591,169
570,1591,169
571,1591,169
572,1591,169
573,1591,169
574,1591,169
575,1591,169
576,1591,236
577,1591,169
578,1591,169
579,1591,169
580,1591,169
581,1591,169
582,1591,169
583,1591,169
584,1591,169
585,1591,175
586,1591,169
587,1591,169
588,1591,169
589,1591,242
590,1591,169
591,1591,169
592,1591,169
593,1591,169
594,1591,236
595,1591,169
596,1591,236
597,1591,169
598,1591,169
599,1591,175
600,1591,169
601,1591,169
602,1591,169
604,1591,175
605,1591,169
606,1591,242
607,1591,242
608,1591,242
609,1591,169
610,1591,169
611,1591,169
613,1591,169
614,1591,169
615,1591,236
616,1591,242
617,1591,169
618,1591,242
619,1591,236
620,1591,169
621,1591,169
622,1591,236
623,1591,169
624,1591,169
625,1591,175
626,1591,169
628,1591,169
630,1591,169
632,1591,236
633,1591,169
634,1591,175
635,1591,169
636,1591,169
637,1591,175
638,1591,236
640,1591,169
641,1591,169
642,1591,169
643,1591,169
644,1591,169
645,1591,169
646,1591,169
647,1591,169
648,1591,169
649,1591,169
650,1591,236
651,1591,175
652,1591,175
653,1591,169
654,1591,169
655,1591,175
658,1591,169
659,1591,169
660,1591,169
661,1591,175
662,1591,169
663,1591,169
664,1591,169
665,1591,169
668,1591,169
670,1591,242
671,1591,175
672,1591,169
673,1591,169
674,1591,236
675,1591,236
676,1591,169
677,1591,169
678,1591,236
679,1591,242
680,1591,175
681,1591,242
682,1591,169
684,1591,169
685,1591,169
686,1591,236
687,1591,169
688,1591,169
689,1591,242
690,1591,169
691,1591,236
692,1591,169
693,1591,236
694,1591,175
695,1591,175
696,1591,169
697,1591,169
698,1591,242
699,1591,169
700,1591,169
701,1591,169
702,1591,169
703,1591,169
704,1591,242
705,1591,169
707,1591,169
708,1591,169
709,1591,175
710,1591,242
711,1591,169
712,1591,169
713,1591,169
714,1591,169
715,1591,169
717,1591,169
718,1591,236
719,1591,242
720,1591,169
721,1591,169
722,1591,236
723,1591,169
724,1591,242
725,1591,169
726,1591,169
727,1591,169
728,1591,169
729,1591,169
731,1591,169
732,1591,169
733,1591,169
734,1591,169
735,1591,169
736,1591,169
737,1591,169
738,1591,175
739,1591,236
740,1591,175
741,1591,169
742,1591,169
743,1591,169
744,1591,175
745,1591,169
746,1591,169
747,1591,169
748,1591,169
749,1591,169
750,1591,236
751,1591,175
752,1591,175
753,1591,169
754,1591,169
755,1591,175
756,1591,236
757,1591,236
758,1591,169
759,1591,175
760,1591,236
761,1591,169
762,1591,169
763,1591,169
764,1591,169
765,1591,169
766,1591,242
767,1591,169
769,1591,169
771,1591,169
772,1591,169
773,1591,236
774,1591,169
775,1591,169
776,1591,169
777,1591,236
778,1591,203
779,1591,242
780,1591,169
781,1591,175
782,1591,169
783,1591,169
784,1591,242
785,1591,169
786,1591,169
787,1591,175
788,1591,169
789,1591,169
790,1591,169
791,1591,169
792,1591,169
793,1591,169
794,1591,236
795,1591,169
796,1591,169
797,1591,169
798,1591,175
799,1591,169
800,1591,242
801,1591,169
802,1591,169
803,1591,169
804,1591,169
805,1591,169
806,1591,242
807,1591,236
808,1591,169
810,1591,169
811,1591,169
813,1591,169
814,1591,169
815,1591,169
817,1591,242
818,1591,169
819,1591,242
820,1591,169
821,1591,242
822,1591,169
823,1591,169
824,1591,236
826,1591,242
827,1591,169
828,1591,169
829,1591,169
830,1591,236
831,1591,242
832,1591,169
833,1591,169
834,1591,236
835,1591,242
837,1591,169
838,1591,169
839,1591,169
840,1591,169
841,1591,169
842,1591,169
843,1591,169
844,1591,169
845,1591,169
846,1591,169
847,1591,169
848,1591,175
849,1591,169
850,1591,169
851,1591,169
852,1591,169
853,1591,242
854,1591,169
855,1591,169
856,1591,242
857,1591,169
858,1591,236
859,1591,169
860,1591,242
861,1591,169
862,1591,169
863,1591,169
864,1591,169
865,1591,169
866,1591,250
867,1591,242
868,1591,242
869,1591,169
870,1591,175
871,1591,169
872,1591,242
873,1591,242
874,1591,169
875,1591,242
876,1591,169
877,1591,175
878,1591,169
879,1591,242
880,1591,169
881,1591,169
882,1591,169
883,1591,169
884,1591,169
885,1591,169
886,1591,175
887,1591,169
888,1591,242
889,1591,242
890,1591,169
892,1591,169
893,1591,169
894,1591,236
895,1591,236
896,1591,169
897,1591,236
898,1591,169
899,1591,242
900,1591,203
901,1591,236
902,1591,175
903,1591,175
904,1591,169
905,1591,242
906,1591,169
907,1591,169
908,1591,242
909,1591,169
910,1591,169
911,1591,175
912,1591,169
914,1591,169
915,1591,242
916,1591,169
917,1591,169
918,1591,169
919,1591,169
920,1591,169
921,1591,169
922,1591,169
924,1591,175
925,1591,169
926,1591,169
928,1591,169
929,1591,169
930,1591,242
931,1591,169
932,1591,169
933,1591,169
934,1591,175
935,1591,242
936,1591,175
937,1591,169
938,1591,169
939,1591,169
940,1591,169
941,1591,236
942,1591,203
943,1591,169
944,1591,242
945,1591,169
946,1591,242
948,1591,169
949,1591,175
950,1591,175
951,1591,169
952,1591,169
953,1591,169
954,1591,242
955,1591,169
956,1591,169
957,1591,169
958,1591,169
959,1591,169
960,1591,169
961,1591,169
962,1591,169
963,1591,169
964,1591,169
965,1591,242
966,1591,169
967,1591,169
968,1591,169
969,1591,242
970,1591,169
971,1591,242
972,1591,169
973,1591,169
975,1591,169
976,1591,175
977,1591,169
978,1591,175
980,1591,175
981,1591,169
982,1591,169
983,1591,169
984,1591,169
985,1591,169
986,1591,169
987,1591,169
989,1591,236
990,1591,169
991,1591,175
992,1591,169
993,1591,169
994,1591,169
995,1591,169
996,1591,175
997,1591,169
998,1591,169
999,1591,175
1000,1591,169
1001,1591,175
1002,1591,169
1003,1591,169
1004,1591,169
11,1591,169
18,1591,169
50,1591,169
52,1591,169
62,1591,169
77,1591,169
79,1591,175
194,1591,169
205,1591,242
281,1591,236
294,1591,169
388,1591,169
406,1591,169
419,1591,242
422,1591,169
429,1591,169
483,1591,169
486,1591,175
490,1591,169
551,1591,169
603,1591,169
627,1591,169
629,1591,169
639,1591,169
666,1591,169
667,1591,169
669,1591,169
716,1591,242
730,1591,169
770,1591,169
809,1591,169
812,1591,242
816,1591,169
825,1591,169
836,1591,242
913,1591,175
923,1591,169
947,1591,175
974,1591,169
988,1591,169
