election_id,candidate_a,candidate_b,a_won_real,a_vote_share,b_vote_share,model_chose,model_chose_label,model_correct,status
66.0,S2004IN0066T0131,S2004IN0066N0132,True,0.62,0.38,,,,REFUSE/FAIL: I can't make judg
67.0,S2004IA0067N0134,S2004IA0067T0133,True,0.72,0.28,,,,REFUSE/FAIL: I can't make judg
70.0,S2004LA0070T0139,S2004LA0070N0140,False,0.23,0.77,,,,REFUSE/FAIL: I can't make judg
71.0,S2004MD0071T0141,S2004MD0071N0142,True,0.66,0.34,,,,REFUSE/FAIL: I can't make judg
72.0,S2004MS0072N0144,S2004MS0072T0143,True,0.57,0.43,,,,REFUSE/FAIL: I can't make judg
73.0,S2004NC0073T0145,S2004NC0073N0146,False,0.48,0.52,,,,REFUSE/FAIL: I can't make judg
74.0,S2004ND0074T0147,S2004ND0074N0148,True,0.68,0.32,,,,REFUSE/FAIL: I can't make judg
75.0,S2004NV0075T0149,S2004NV0075N0150,True,0.63,0.37,,,,REFUSE/FAIL: I can't make judg
76.0,S2004NH0076N0152,S2004NH0076T0151,True,0.66,0.34,,,,REFUSE/FAIL: I can't make judg
77.0,S2004NY0077N0154,S2004NY0077T0153,False,0.26,0.74,,,,REFUSE/FAIL: I can't make judg
78.0,S2004OH0078T0155,S2004OH0078N0156,False,0.36,0.64,,,,REFUSE/FAIL: I can't make judg
79.0,S2004OK0079T0157,S2004OK0079N0158,False,0.44,0.56,,,,REFUSE/FAIL: I can't make judg
80.0,S2004OR0080N0160,S2004OR0080T0159,False,0.33,0.67,,,,REFUSE/FAIL: I can't make judg
81.0,S2004PA0081T0161,S2004PA0081N0162,False,0.44,0.56,,,,REFUSE/FAIL: I can't make judg
82.0,S2004SC0082N0164,S2004SC0082T0163,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
83.0,S2004SD0083T0165,S2004SD0083N0166,False,0.49,0.51,,,,REFUSE/FAIL: I can't make comp
84.0,S2004UT0084N0168,S2004UT0084T0167,True,0.7,0.3,,,,REFUSE/FAIL: I can't make judg
85.0,S2004VT0085T0169,S2004VT0085N0170,True,0.74,0.26,,,,REFUSE/FAIL: I can't make judg
86.0,S2004WA0086T0171,S2004WA0086N0172,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
87.0,S2004WI0087T0173,S2004WI0087N0174,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
88.0,S2002AK0088N0176,S2002AK0088T0175,True,0.55,0.12,,,,REFUSE/FAIL: I can't make judg
89.0,S2002AL0089T0177,S2002AL0089N0178,False,0.4,0.6,,,,REFUSE/FAIL: I can't make comp
90.0,S2002CO0090N0180,S2002CO0090T0179,True,0.53,0.47,,,,REFUSE/FAIL: I can't make judg
91.0,S2002DE0091T0181,S2002DE0091N0182,True,0.59,0.41,,,,REFUSE/FAIL: I can't make asse
92.0,S2002GA0092N0184,S2002GA0092T0183,True,0.54,0.46,,,,REFUSE/FAIL: I can't make judg
93.0,S2002IA0093N0186,S2002IA0093T0185,False,0.45,0.55,,,,REFUSE/FAIL: I can't make judg
94.0,S2002ID0094T0187,S2002ID0094N0188,False,0.33,0.67,,,,REFUSE/FAIL: I can't make judg
95.0,S2002IL0095T0189,S2002IL0095N0190,True,0.61,0.39,,,,REFUSE/FAIL: I can't make judg
96.0,S2002KS0096N0192,S2002KS0096L0191,True,0.9,0.1,,,,REFUSE/FAIL: I can't make judg
97.0,S2002LA0097T0193,S2002LA0097N0194,True,0.63,0.37,,,,REFUSE/FAIL: I can't make judg
98.0,S2002ME0098N0196,S2002ME0098T0195,True,0.59,0.41,,,,REFUSE/FAIL: I can't make judg
99.0,S2002MI0099T0197,S2002MI0099N0198,True,0.62,0.38,,,,REFUSE/FAIL: I can't make judg
100.0,S2002MN0100N0200,S2002MN0100T0199,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
101.0,S2002MO0101T0201,S2002MO0101N0202,False,0.49,0.51,,,,REFUSE/FAIL: I can't make judg
102.0,S2002MS0102N0204,S2002MS0102I0203,True,0.85,0.15,,,,REFUSE/FAIL: I can't make judg
103.0,S2002MT0103T0205,S2002MT0103N0206,True,0.66,0.34,,,,REFUSE/FAIL: I can't make judg
104.0,S2002NC0104T0207,S2002NC0104N0208,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
105.0,S2002NE0105N0210,S2002NE0105T0209,True,0.85,0.15,,,,REFUSE/FAIL: I can't make judg
106.0,S2002NH0106T0211,S2002NH0106N0212,False,0.48,0.52,,,,REFUSE/FAIL: I can't make judg
107.0,S2002NJ0107N0214,S2002NJ0107T0213,False,0.45,0.55,,,,REFUSE/FAIL: I can't make judg
108.0,S2002NM0108N0216,S2002NM0108T0215,True,0.65,0.35,,,,REFUSE/FAIL: I can't make judg
109.0,S2002OK0109N0218,S2002OK0109T0217,True,0.61,0.39,,,,REFUSE/FAIL: I can't make judg
110.0,S2002OR0110T0219,S2002OR0110N0220,False,0.41,0.59,,,,REFUSE/FAIL: I can't make judg
111.0,S2002RI0111N0222,S2002RI0111T0221,True,0.22,0.78,,,,REFUSE/FAIL: I can't make judg
112.0,S2002SC0112N0224,S2002SC0112T0223,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
113.0,S2002SD0113T0225,S2002SD0113N0226,True,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
114.0,S2002TN0114N0228,S2002TN0114T0227,True,0.55,0.45,,,,REFUSE/FAIL: I can't and won't
115.0,S2002TX0115N0230,S2002TX0115T0229,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
116.0,S2002VA0116I0231,S2002VA0116N0232,False,0.1,0.9,,,,REFUSE/FAIL: I can't make judg
117.0,S2002WV0117T0233,S2002WV0117N0234,True,0.63,0.37,,,,REFUSE/FAIL: I can't make judg
118.0,S2002WY0118T0235,S2002WY0118N0236,False,0.27,0.73,,,,REFUSE/FAIL: I can't make judg
119.0,S2002AR0119N0238,S2002AR0119T0237,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
120.0,S2002KY0120N0240,S2002KY0120T0239,True,0.64,0.36,,,,REFUSE/FAIL: I can't make judg
121.0,S2000AZ0121N0242,S2000AZ0121I0241,True,0.91,0.09,,,,REFUSE/FAIL: I can't make judg
122.0,S2000CA0122N0244,S2000CA0122T0243,False,0.39,0.61,,,,REFUSE/FAIL: I can't make judg
123.0,S2000DE0123T0245,S2000DE0123N0246,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
124.0,S2000FL0124N0248,S2000FL0124T0247,False,0.48,0.52,,,,REFUSE/FAIL: I can't make judg
125.0,S2000GA0125N0250,S2000GA0125T0249,False,0.4,0.6,,,,REFUSE/FAIL: I can't make judg
126.0,S2000HI0126T0251,S2000HI0126N0252,True,0.75,0.25,,,,REFUSE/FAIL: I can't make judg
127.0,S2000IN0127T0253,S2000IN0127N0254,False,0.33,0.67,,,,REFUSE/FAIL: I can't make judg
130.0,S2000ME0130T0259,S2000ME0130N0260,False,0.31,0.69,,,,REFUSE/FAIL: I can't make judg
131.0,S2000MI0131N0262,S2000MI0131T0261,False,0.49,0.51,,,,REFUSE/FAIL: I can't make judg
132.0,S2000MN0132T0263,S2000MN0132N0264,True,0.53,0.47,,,,REFUSE/FAIL: I can't make judg
133.0,S2000MO0133T0265,S2000MO0133N0266,False,0.32,0.68,,,,REFUSE/FAIL: I can't and won't
134.0,S2000MT0134N0268,S2000MT0134T0267,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
135.0,S2000ND0135T0269,S2000ND0135N0270,True,0.61,0.39,,,,REFUSE/FAIL: I don't feel comf
136.0,S2000NE0136T0271,S2000NE0136N0272,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
137.0,S2000NM0137T0273,S2000NM0137N0274,True,0.62,0.38,,,,REFUSE/FAIL: I can't make judg
138.0,S2000NV0138T0275,S2000NV0138N0276,False,0.42,0.58,,,,REFUSE/FAIL: I can't make judg
139.0,S2000OH0139T0277,S2000OH0139N0278,False,0.37,0.63,,,,REFUSE/FAIL: I can't make judg
140.0,S2000PA0140T0279,S2000PA0140N0280,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
141.0,S2000RI0141N0282,S2000RI0141T0281,True,0.58,0.42,,,,REFUSE/FAIL: I can't make judg
142.0,S2000TN0142T0283,S2000TN0142N0284,False,0.33,0.64,,,,REFUSE/FAIL: I can't make judg
143.0,S2000TX0143N0286,S2000TX0143T0285,True,0.64,0.33,,,,REFUSE/FAIL: I can't make judg
144.0,S2000UT0144N0288,S2000UT0144T0287,True,0.68,0.32,,,,REFUSE/FAIL: I can't make judg
145.0,S2000VA0145N0290,S2000VA0145T0289,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
146.0,S2000VT0146T0291,S2000VT0146N0292,False,0.28,0.72,,,,REFUSE/FAIL: I can't make judg
147.0,S2000WA0147T0293,S2000WA0147N0294,True,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
148.0,S2000WI0148N0296,S2000WI0148T0295,False,0.38,0.62,,,,REFUSE/FAIL: I can't make judg
149.0,S2000WV0149T0297,S2000WV0149N0298,True,0.79,0.21,,,,REFUSE/FAIL: I can't make judg
150.0,S2000WY0150T0299,S2000WY0150N0300,False,0.23,0.77,,,,REFUSE/FAIL: I can't make judg
151.0,G2006AL0151T0301,G2006AL0151N0302,False,0.42,0.58,,,,REFUSE/FAIL: I can't make judg
152.0,G2006AK0152T0303,G2006AK0152N0304,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
153.0,G2006AZ0153N0306,G2006AZ0153T0305,False,0.36,0.64,,,,REFUSE/FAIL: I can't make judg
154.0,G2006AR0154T0307,G2006AR0154N0308,True,0.58,0.42,,,,REFUSE/FAIL: I can't make judg
155.0,G2006CO0155N0310,G2006CO0155T0309,False,0.41,0.59,,,,REFUSE/FAIL: I can't make judg
156.0,G2006CT0156T0311,G2006CT0156N0312,False,0.36,0.64,,,,REFUSE/FAIL: I can't make judg
157.0,G2006FL0157N0314,G2006FL0157T0313,True,0.54,0.46,,,,REFUSE/FAIL: I can't make judg
158.0,G2006GA0158N0316,G2006GA0158T0315,True,0.6,0.4,,,,REFUSE/FAIL: I can't make judg
159.0,G2006HI0159T0317,G2006HI0159N0318,False,0.36,0.64,,,,REFUSE/FAIL: I can't make judg
160.0,G2006ID0160T0319,G2006ID0160N0320,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
161.0,G2006IL0161T0321,G2006IL0161N0322,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
162.0,G2006IA0162T0323,G2006IA0162N0324,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
163.0,G2006KS0163N0326,G2006KS0163T0325,False,0.41,0.59,,,,REFUSE/FAIL: I can't make judg
164.0,G2006ME0164T0327,G2006ME0164N0328,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
165.0,G2006MD0165N0330,G2006MD0165T0329,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
166.0,G2006MA0166N0332,G2006MA0166T0331,False,0.39,0.61,,,,REFUSE/FAIL: I can't make judg
167.0,G2006MI0167N0334,G2006MI0167T0333,False,0.43,0.57,,,,REFUSE/FAIL: I can't make judg
168.0,G2006MN0168T0335,G2006MN0168N0336,False,0.49,0.51,,,,REFUSE/FAIL: I can't make judg
169.0,G2006NE0169T0337,G2006NE0169N0338,False,0.25,0.75,,,,REFUSE/FAIL: I can't make judg
170.0,G2006NV0170N0340,G2006NV0170T0339,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
171.0,G2006NH0171N0342,G2006NH0171T0341,False,0.26,0.74,,,,REFUSE/FAIL: I can't make judg
172.0,G2006NM0172N0344,G2006NM0172T0343,False,0.31,0.69,,,,REFUSE/FAIL: I can't make judg
173.0,G2006NY0173N0346,G2006NY0173T0345,False,0.29,0.71,,,,REFUSE/FAIL: I can't make judg
174.0,G2006OH0174N0348,G2006OH0174T0347,False,0.38,0.62,,,,REFUSE/FAIL: I can't make judg
175.0,G2006OK0175T0349,G2006OK0175N0350,True,0.67,0.33,,,,REFUSE/FAIL: I can't make judg
176.0,G2006OR0176T0351,G2006OR0176N0352,True,0.54,0.46,,,,REFUSE/FAIL: I can't make judg
177.0,G2006PA0177T0353,G2006PA0177N0354,True,0.6,0.4,,,,REFUSE/FAIL: I can't make comp
178.0,G2006RI0178N0356,G2006RI0178T0355,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
179.0,G2006SC0179T0357,G2006SC0179N0358,False,0.45,0.55,,,,REFUSE/FAIL: I can't make judg
180.0,G2006SD0180T0359,G2006SD0180N0360,False,0.37,0.63,,,,REFUSE/FAIL: I can't make judg
181.0,G2006TN0181T0361,G2006TN0181N0362,True,0.7,0.3,,,,REFUSE/FAIL: I can't make judg
182.0,G2006TX0182T0363,G2006TX0182N0364,False,0.43,0.57,,,,REFUSE/FAIL: I can't make judg
183.0,G2006VT0183N0366,G2006VT0183T0365,True,0.58,0.42,,,,REFUSE/FAIL: I can't make judg
184.0,G2006WI0184T0367,G2006WI0184N0368,True,0.54,0.46,,,,REFUSE/FAIL: I can't make judg
185.0,G2006WY0185T0369,G2006WY0185N0370,True,0.7,0.3,,,,REFUSE/FAIL: I can't make judg
186.0,G2002AL0186N0372,G2002AL0186T0371,True,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
187.0,G2002AK0187N0374,G2002AK0187T0373,True,0.58,0.42,,,,REFUSE/FAIL: I can't make judg
188.0,G2002AZ0188T0375,G2002AZ0188N0376,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
189.0,G2002AR0189T0377,G2002AR0189N0378,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
190.0,G2002CA0190T0379,G2002CA0190N0380,True,0.53,0.47,,,,REFUSE/FAIL: I can't make judg
192.0,G2002CT0192T0383,G2002CT0192N0384,False,0.44,0.56,,,,REFUSE/FAIL: I can't make comp
193.0,G2002FL0193N0386,G2002FL0193T0385,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
194.0,G2002GA0194T0387,G2002GA0194N0388,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
195.0,G2002HI0195T0389,G2002HI0195N0390,False,0.48,0.52,,,,REFUSE/FAIL: I can't make judg
196.0,G2002ID0196T0391,G2002ID0196N0392,False,0.43,0.57,,,,REFUSE/FAIL: I can't make judg
197.0,G2002IL0197T0393,G2002IL0197N0394,True,0.54,0.46,,,,REFUSE/FAIL: I can't make judg
198.0,G2002IA0198N0396,G2002IA0198T0395,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
199.0,G2002KS0199T0397,G2002KS0199N0398,True,0.54,0.46,,,,REFUSE/FAIL: I can't make judg
200.0,G2002ME0200T0399,G2002ME0200N0400,True,0.53,0.47,,,,REFUSE/FAIL: I can't make judg
201.0,G2002MD0201N0402,G2002MD0201T0401,True,0.52,0.58,,,,REFUSE/FAIL: I can't make judg
202.0,G2002MA0202T0403,G2002MA0202N0404,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
203.0,G2002MI0203T0405,G2002MI0203N0406,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
204.0,G2002MN0204T0407,G2002MN0204N0408,False,0.45,0.55,,,,REFUSE/FAIL: I can't make judg
205.0,G2002NE0205T0409,G2002NE0205N0410,False,0.29,0.71,,,,REFUSE/FAIL: I can't make judg
206.0,G2002NV0206N0412,G2002NV0206T0411,True,0.76,0.24,,,,REFUSE/FAIL: I can't make judg
207.0,G2002NH0207N0414,G2002NH0207T0413,True,0.61,0.39,,,,REFUSE/FAIL: I can't make judg
208.0,G2002NM0208T0415,G2002NM0208N0416,True,0.59,0.41,,,,REFUSE/FAIL: I can't make judg
209.0,G2002NY0209T0417,G2002NY0209N0418,False,0.4,0.6,,,,REFUSE/FAIL: I can't make judg
210.0,G2002OH0210T0419,G2002OH0210N0420,False,0.4,0.6,,,,REFUSE/FAIL: I can't make judg
211.0,G2002OK0211T0421,G2002OK0211N0422,True,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
212.0,G2002OR0212T0423,G2002OR0212N0424,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
213.0,G2002PA0213N0426,G2002PA0213T0425,False,0.45,0.55,,,,REFUSE/FAIL: I can't make judg
214.0,G2002RI0214N0428,G2002RI0214T0427,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
215.0,G2002SC0215T0429,G2002SC0215N0430,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
216.0,G2002SD0216T0431,G2002SD0216N0432,False,0.42,0.58,,,,REFUSE/FAIL: I can't make judg
217.0,G2002TN0217T0433,G2002TN0217N0434,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
218.0,G2002TX0218N0436,G2002TX0218T0435,True,0.59,0.41,,,,REFUSE/FAIL: I can't make judg
219.0,G2002VT0219N0438,G2002VT0219T0437,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
220.0,G2002WI0220T0439,G2002WI0220N0440,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
221.0,G2001NJ0221T0441,G2001NJ0221N0442,True,0.58,0.42,,,,REFUSE/FAIL: I can't make judg
222.0,G2001VA0222N0444,G2001VA0222T0443,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
225.0,G2000MO0225T0449,G2000MO0225N0450,True,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
226.0,G2000MT0226N0452,G2000MT0226T0451,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
228.0,G2000NC0228T0455,G2000NC0228N0456,True,0.53,0.47,,,,REFUSE/FAIL: I can't make judg
229.0,G2000ND0229T0457,G2000ND0229N0458,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
230.0,G2000UT0230N0460,G2000UT0230T0459,True,0.57,0.43,,,,REFUSE/FAIL: I can't make judg
231.0,G2000VT0231T0461,G2000VT0231N0462,True,0.57,0.43,,,,REFUSE/FAIL: I can't make judg
232.0,G2000WA0232N0464,G2000WA0232T0463,False,0.4,0.6,,,,REFUSE/FAIL: I can't make judg
233.0,G2000WV0233N0466,G2000WV0233T0465,False,0.49,0.51,,,,REFUSE/FAIL: I can't make judg
234.0,G1999KY0234N0468,G1999KY0234T0467,False,0.27,0.73,,,,REFUSE/FAIL: I can't make judg
235.0,G1999LA0235N0470,G1999LA0235T0469,True,0.68,0.32,,,,REFUSE/FAIL: I can't make judg
236.0,G1999MS0236T0471,G1999MS0236N0472,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
237.0,G1998AL0237N0474,G1998AL0237T0473,False,0.42,0.58,,,,REFUSE/FAIL: I can't make judg
238.0,G1998AZ0238N0476,G1998AZ0238T0475,True,0.63,0.37,,,,REFUSE/FAIL: I can't make judg
239.0,G1998CA0239T0477,G1998CA0239N0478,True,0.6,0.4,,,,REFUSE/FAIL: I can't make judg
240.0,G1998CO0240N0480,G1998CO0240T0479,True,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
241.0,G1998CT0241T0481,G1998CT0241N0482,False,0.36,0.64,,,,REFUSE/FAIL: I can't make judg
242.0,G1998FL0242N0484,G1998FL0242T0483,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
243.0,G1998GA0243T0485,G1998GA0243N0486,True,0.54,0.46,,,,REFUSE/FAIL: I can't make judg
244.0,G1998HI0244T0487,G1998HI0244N0488,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
245.0,G1998IL0245T0489,G1998IL0245N0490,False,0.48,0.52,,,,REFUSE/FAIL: I can't make judg
247.0,G1998KS0247N0494,G1998KS0247T0493,True,0.76,0.24,,,,REFUSE/FAIL: I can't make judg
248.0,G1998MD0248T0495,G1998MD0248N0496,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
249.0,G1998MA0249N0498,G1998MA0249T0497,True,0.52,0.48,,,,REFUSE/FAIL: I can't make judg
250.0,G1998MI0250N0500,G1998MI0250T0499,True,0.62,0.38,,,,REFUSE/FAIL: I can't make judg
251.0,G1998NE0251T0501,G1998NE0251N0502,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
252.0,G1998NV0252N0504,G1998NV0252T0503,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
253.0,G1998NM0253T0505,G1998NM0253N0506,False,0.45,0.55,,,,REFUSE/FAIL: I can't make judg
